date,Sres
2013-08-31,18.51500722284
2013-09-30,17.32768157748
2013-10-31,16.11305038536
2013-11-30,15.73550559348
2013-12-31,15.51906932484
2014-01-31,15.27665720088
2014-02-28,16.4151641748
2014-03-31,18.74381529588
2014-04-30,20.3985891564
2014-05-31,20.09343483876
2014-06-30,18.02459407704
2014-07-31,15.4805008722
2014-08-31,13.78760877924
2014-09-30,13.00389135816
2014-10-31,12.15560125908
2014-11-30,12.11140197024
2014-12-31,15.61854085248
2015-01-31,16.66415198064
2015-02-28,19.41170894496
2015-03-31,19.9406412042
2015-04-30,19.76613585468
2015-05-31,18.79236876912
2015-06-30,17.01491792172
2015-07-31,14.61540707508
2015-08-31,13.00948395648
2015-09-30,12.14041465332
2015-10-31,11.31328490364
2015-11-30,11.15005356132
2015-12-31,12.1657639008
