,grace_min,grace_mean,grace_max
2007-03-31,2.9032533950779396,18.231970716851553,33.04237582062342
2007-04-30,-0.767472304452355,10.166190272400566,22.682812975798488
2007-05-31,-6.287940291290013,4.556947171004681,15.743172719561947
2007-06-30,-18.055474387276867,-7.215410449305001,3.756117597470796
2007-07-31,-27.475507667122066,-16.654166271638754,-5.798800446384671
2007-08-31,-38.85860321892115,-30.09225639911503,-21.325909579308902
2007-09-30,-36.89107205989977,-29.309324068973197,-21.730578505273996
2007-10-31,-36.93014785823686,-27.68875761301076,-18.452596608705296
2007-11-30,-25.3464828015478,-17.393453340038832,-9.464301809786026
2007-12-31,-23.552492140146136,-13.335697164773764,-1.5440429290842221
2008-01-31,-45.45370492419746,-24.62461095380012,-2.9196999973452744
2008-02-29,-6.866336879230484,11.737552728385758,27.316182357797743
2008-03-31,7.786030003372675,21.778865163454668,36.12222338948405
2008-04-30,1.1176987012156516,16.73585581638481,35.664517153692216
2008-05-31,-7.564235677985096,8.239241984431343,23.953702549413375
2008-06-30,-17.501062335049046,-6.413317172978903,4.444658701358273
2008-07-31,-24.34969599181457,-13.437363170600323,-2.553215855951091
2008-08-31,-34.27834518974599,-25.46365979209558,-16.648876894445163
2008-09-30,-39.04237128902072,-31.813531060290472,-24.584711949054732
2008-10-31,-37.85518220311582,-30.54661370143711,-23.259717203030085
2008-11-30,-51.48819283640552,-42.4692090071869,-33.49280444323519
2008-12-31,-47.96180345501532,-36.410283791348746,-22.99452934439008
2009-01-31,-34.59408018717832,-20.88047233666684,-5.965329651455954
2009-02-28,-22.262036555889985,-10.218621755914926,2.769126949798018
2009-03-31,-30.697361777656464,-14.622501504168063,1.3224071480442756
2009-04-30,-5.094474968563281,9.168260491445446,22.96061682656459
2009-05-31,-16.713686990461326,-2.360451561623739,11.610354588601862
2009-06-30,-27.27114589431507,-16.788690840758033,-6.0695207746867474
2009-07-31,-31.305135802508957,-19.532557088123387,-7.735102915876592
2009-08-31,-40.95758666723434,-31.463698506592817,-21.969380345951304
2009-09-30,-45.38813980404823,-37.25445599132717,-29.120757678606104
2009-10-31,-54.783507743230516,-45.92693937997674,-37.08358881502137
2009-11-30,-45.049854091757354,-34.804271234637724,-24.774192367081092
2009-12-31,-48.279338819432894,-35.4567468943987,-21.243391181991843
2010-01-31,-39.40240011510373,-23.081704285240818,-8.21247124445949
2010-02-28,-21.270090623636666,-1.9157187428694469,13.45148811181609
2010-03-31,-7.087012929244517,8.76583717074148,20.77930526765228
2010-04-30,-6.531170125300904,3.576627451771008,14.334256907129824
2010-05-31,1.95208177567004,18.330489353302767,35.22998896658639
2010-06-30,-11.61394909760853,6.710664045767026,25.91914034565238
